Vivado Simulator 2018.3
Time resolution is 1 ps
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x0abab
Output 1: 0x0aaaa
Output 0: 0x0cdcd
Output 1: 0x0bbbb
Output 0: 0x0efef
Output 1: 0x0cccc
Output 0: 0x00101
Output 1: 0x0dddd
Output 0: 0x02323
Output 1: 0x0eeee
Output 0: 0x04545
Output 1: 0x0ffff
Output 0: 0x06767
Output 1: 0x01111
Output 0: 0x08989
Output 1: 0x02222
Output 0: 0x04444
Output 1: 0x08888
Output 0: 0x05555
Output 1: 0x09999
Output 0: 0x06666
Output 1: 0x00a0a
Output 0: 0x07777
Output 1: 0x01b1b
Output 0: 0x03d3d
Output 1: 0x07171
Output 0: 0x04e4e
Output 1: 0x08282
Output 0: 0x05f5f
Output 1: 0x09393
Output 0: 0x06060
Output 1: 0x0a4a4
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x0abab
Output 1: 0x0aaaa
Output 0: 0x0cdcd
Output 1: 0x0bbbb
Output 0: 0x0efef
Output 1: 0x0cccc
Output 0: 0x00101
Output 1: 0x0dddd
Output 0: 0x02323
Output 1: 0x0eeee
Output 0: 0x04545
Output 1: 0x0ffff
Output 0: 0x06767
Output 1: 0x01111
Output 0: 0x08989
Output 1: 0x02222
Output 0: 0x04444
Output 1: 0x08888
Output 0: 0x05555
Output 1: 0x09999
Output 0: 0x06666
Output 1: 0x00a0a
Output 0: 0x07777
Output 1: 0x01b1b
Output 0: 0x03d3d
Output 1: 0x07171
Output 0: 0x04e4e
Output 1: 0x08282
Output 0: 0x05f5f
Output 1: 0x09393
Output 0: 0x06060
Output 1: 0x0a4a4
Output 0: 0x00000
Output 1: 0x00000
