Vivado Simulator 2018.3
Time resolution is 1 ps
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x0abab
Output 1: 0x0efef
Output 0: 0x0cdcd
Output 1: 0x00101
Output 0: 0x02323
Output 1: 0x06767
Output 0: 0x04545
Output 1: 0x08989
Output 0: 0x0aaaa
Output 1: 0x0cccc
Output 0: 0x0bbbb
Output 1: 0x0dddd
Output 0: 0x0eeee
Output 1: 0x01111
Output 0: 0x0ffff
Output 1: 0x02222
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x00000
Output 1: 0x00000
Output 0: 0x0abab
Output 1: 0x0efef
Output 0: 0x0cdcd
Output 1: 0x00101
Output 0: 0x02323
Output 1: 0x06767
Output 0: 0x04545
Output 1: 0x08989
Output 0: 0x0aaaa
Output 1: 0x0cccc
Output 0: 0x0bbbb
Output 1: 0x0dddd
Output 0: 0x0eeee
Output 1: 0x01111
Output 0: 0x0ffff
Output 1: 0x02222
Output 0: 0x00000
Output 1: 0x00000
